time;Short term adaptation of mixture formation bank 1: ---;Long term adaptation of mixture formation bank 1: ---;Engine speed: ---;Ignition timing adjustment cylinder 1: ---;Intake air temperature: ---;Absolute intake pressure: ---;Fuel Pressure: ---;Absolute load value: ---;Misfire sum counter: ---;Low fuel pressure, specified value: ---;Mixture adaptation factor at partial load: ---;Engine torque: ---;Air mass, specified value: ---
165811;1.6;-17.2;796.0;3.5;20.0;28.0;5550.0;22.4;0.0;5.73;-0.31;13.8;12.0
166650;0.8;-18.0;802.0;2.0;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;13.9;12.0
167460;1.6;-18.0;799.0;3.5;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;13.8;12.0
168240;0.8;-18.0;799.0;3.5;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;14.5;12.0
169020;1.6;-17.2;798.0;3.0;20.0;28.0;5540.0;22.4;0.0;5.73;-0.31;13.7;12.0
169863;0.8;-17.2;800.0;2.5;20.0;28.0;5580.0;22.4;0.0;5.73;-0.31;14.0;12.0
170672;0.8;-18.0;792.0;3.5;20.0;28.0;5560.0;22.4;0.0;5.73;-0.31;14.3;12.0
171480;1.6;-18.0;803.0;2.0;20.0;28.0;5590.0;22.4;0.0;5.73;-0.31;13.8;12.0
172261;0.8;-18.0;799.0;3.0;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;14.4;12.0
173041;0.8;-18.0;796.0;3.0;20.0;28.0;5560.0;22.4;0.0;5.73;-0.31;14.1;12.0
173851;0.8;-18.0;798.0;3.5;20.0;28.0;5540.0;22.4;0.0;5.73;-0.31;14.0;12.0
174632;1.6;-18.0;802.0;2.0;20.0;28.0;5550.0;22.4;0.0;5.73;-0.31;13.4;12.0
175411;1.6;-18.0;801.0;2.0;20.0;28.0;5560.0;22.4;0.0;5.73;-0.31;13.8;12.0
176281;1.6;-17.2;800.0;2.5;20.0;28.0;5540.0;22.4;0.0;5.73;-0.31;13.7;12.0
177091;1.6;-18.0;800.0;2.0;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;13.9;12.0
177961;1.6;-18.0;801.0;2.0;20.0;28.0;5550.0;22.4;0.0;5.73;-0.31;14.2;12.0
178773;0.8;-18.0;795.0;3.5;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;13.8;12.0
179550;1.6;-18.0;797.0;3.0;20.0;28.0;5540.0;22.4;0.0;5.73;-0.31;13.8;12.0
